sentence;Intent;Cause;Effect;Causal association;tokenized;bio_tags
USER I 'm nervous cause most the people in my family have diabetes so they say that increases your chances and my sister had gd when she was pregnant but I 've been praying so hard .;;family have diabetes;nervous;1;"['USER', 'I', ""'m"", 'nervous', 'cause', 'most', 'the', 'people', 'in', 'my', 'family', 'have', 'diabetes', 'so', 'they', 'say', 'that', 'increases', 'your', 'chances', 'and', 'my', 'sister', 'had', 'gd', 'when', 'she', 'was', 'pregnant', 'but', 'I', ""'ve"", 'been', 'praying', 'so', 'hard', '.']";['O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Type 1 ( malfunctioning pancreas , aka not enough insulin being made to regulate HTTPURL;mE;Type 1;"malfunctioning pancreas; not enough insulin";1;['Type', '1', '(', 'malfunctioning', 'pancreas', ',', 'aka', 'not', 'enough', 'insulin', 'being', 'made', 'to', 'regulate', 'HTTPURL'];['I-C', 'I-C', 'O', 'I-E', 'I-E', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O']
I know the costs & the struggle just to get insurance to pay for supplies and insulin that are the difference between life & death .;;insurance to pay;struggle;1;['I', 'know', 'the', 'costs', '&', 'the', 'struggle', 'just', 'to', 'get', 'insurance', 'to', 'pay', 'for', 'supplies', 'and', 'insulin', 'that', 'are', 'the', 'difference', 'between', 'life', '&', 'death', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
10 years ago I decided I wanted to become a Pediatric Endocrinologist because of this diagnosis .;;diagnosis;become a Pediatric Endocrinologist;1;['10', 'years', 'ago', 'I', 'decided', 'I', 'wanted', 'to', 'become', 'a', 'Pediatric', 'Endocrinologist', 'because', 'of', 'this', 'diagnosis', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'I-C', 'O']
As a dad of a type 1 diabetic , this is the saddest , scariest thing .;;type 1 diabetic;;0;['As', 'a', 'dad', 'of', 'a', 'type', '1', 'diabetic', ',', 'this', 'is', 'the', 'saddest', ',', 'scariest', 'thing', '.'];['O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I fear for him when he gets older .;;;fear;0;['I', 'fear', 'for', 'him', 'when', 'he', 'gets', 'older', '.'];['O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I 've been stress eating and my mum whips out a blood sugar checker like I got diabetes :weary_face: :weary_face: :weary_face: :face_with_hand_over_mouth:;;stress eating;blood sugar checker;1.0;"['I', ""'ve"", 'been', 'stress', 'eating', 'and', 'my', 'mum', 'whips', 'out', 'a', 'blood', 'sugar', 'checker', 'like', 'I', 'got', 'diabetes', ':weary_face:', ':weary_face:', ':weary_face:', ':face_with_hand_over_mouth:']";['O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER HTTPURL I 'm a Type 1 Diabetic , out of work and unable to afford my insulin :sleepy_face:;;out of work;unable to afford my insulin;1.0;"['USER', 'HTTPURL', 'I', ""'m"", 'a', 'Type', '1', 'Diabetic', ',', 'out', 'of', 'work', 'and', 'unable', 'to', 'afford', 'my', 'insulin', ':sleepy_face:']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O']
Tell this to everyone who has died rationing insulin because they could n't afford it .;;couldn't afford it;died;1.0;"['Tell', 'this', 'to', 'everyone', 'who', 'has', 'died', 'rationing', 'insulin', 'because', 'they', 'could', ""n't"", 'afford', 'it', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'O']
Changed my diabetic meds and now I 've returned to my always hypoglycemic status shit fml;;Changed my diabetic meds;hypoglycemic;1.0;"['Changed', 'my', 'diabetic', 'meds', 'and', 'now', 'I', ""'ve"", 'returned', 'to', 'my', 'always', 'hypoglycemic', 'status', 'shit', 'fml']";['I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O']
Diabetes causes me to have mood swings and right now my life is going perfectly fine but I 'm on the couch depressed for no reason and I really wish I could fix it .;;Diabetes;mood swings;1.0;"['Diabetes', 'causes', 'me', 'to', 'have', 'mood', 'swings', 'and', 'right', 'now', 'my', 'life', 'is', 'going', 'perfectly', 'fine', 'but', 'I', ""'m"", 'on', 'the', 'couch', 'depressed', 'for', 'no', 'reason', 'and', 'I', 'really', 'wish', 'I', 'could', 'fix', 'it', '.']";['I-C', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER I think you 're right but mine is now a necessity as I was diagnosed with diabetes about 5 weeks ago so a change is n't an option , it 's a must .;;diabetes;;0;"['USER', 'I', 'think', 'you', ""'re"", 'right', 'but', 'mine', 'is', 'now', 'a', 'necessity', 'as', 'I', 'was', 'diagnosed', 'with', 'diabetes', 'about', '5', 'weeks', 'ago', 'so', 'a', 'change', 'is', ""n't"", 'an', 'option', ',', 'it', ""'s"", 'a', 'must', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
However what you say still applies and perversely I look forward to the exercise now .;;;exercise;0;['However', 'what', 'you', 'say', 'still', 'applies', 'and', 'perversely', 'I', 'look', 'forward', 'to', 'the', 'exercise', 'now', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O']
USER USER Beth Kagan of Jersey Shore , PA says she and her husband spend thousands out of pocket on insulin .;;insulin;spend thousands;1.0;['USER', 'USER', 'Beth', 'Kagan', 'of', 'Jersey', 'Shore', ',', 'PA', 'says', 'she', 'and', 'her', 'husband', 'spend', 'thousands', 'out', 'of', 'pocket', 'on', 'insulin', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'I-C', 'O']
My mom has been suffering for years with trying to afford the insulin she needs on just social security income and medicare for insurance .;;afford the insulin;suffering;1;['My', 'mom', 'has', 'been', 'suffering', 'for', 'years', 'with', 'trying', 'to', 'afford', 'the', 'insulin', 'she', 'needs', 'on', 'just', 'social', 'security', 'income', 'and', 'medicare', 'for', 'insurance', '.'];['O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER The other big lie is being fat gives you diabetes , when the opposite is true .;;;fat;0;['USER', 'The', 'other', 'big', 'lie', 'is', 'being', 'fat', 'gives', 'you', 'diabetes', ',', 'when', 'the', 'opposite', 'is', 'true', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Having out of control blood sugar is what makes you fat .;;out of control blood sugar;fat;1;['Having', 'out', 'of', 'control', 'blood', 'sugar', 'is', 'what', 'makes', 'you', 'fat', '.'];['O', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'I-E', 'O']
The insulin runs around all day stuffing sugar into fat cells ..;;;fat;0;['The', 'insulin', 'runs', 'around', 'all', 'day', 'stuffing', 'sugar', 'into', 'fat', 'cells', '..'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I had a dream with glucose test and now I 'm disgusted;;glucose test;disgusted;1.0;"['I', 'had', 'a', 'dream', 'with', 'glucose', 'test', 'and', 'now', 'I', ""'m"", 'disgusted']";['O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'I-E']
I 'm not diabetic but one of my friends since a kid is and it makes me so sad seeing that this shit is so expensive bc like I do n't want my friend to be another person dead bc it 's so fucking expensive to stay alive .;mE;expensive to stay alive;"sad;dead";1;"['I', ""'m"", 'not', 'diabetic', 'but', 'one', 'of', 'my', 'friends', 'since', 'a', 'kid', 'is', 'and', 'it', 'makes', 'me', 'so', 'sad', 'seeing', 'that', 'this', 'shit', 'is', 'so', 'expensive', 'bc', 'like', 'I', 'do', ""n't"", 'want', 'my', 'friend', 'to', 'be', 'another', 'person', 'dead', 'bc', 'it', ""'s"", 'so', 'fucking', 'expensive', 'to', 'stay', 'alive', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'O']
I 'm noticing that covid really hitting people with diabetes hard .. I 'm seeing them die the most smh;;covid;hitting people with diabetes hard;1.0;"['I', ""'m"", 'noticing', 'that', 'covid', 'really', 'hitting', 'people', 'with', 'diabetes', 'hard', '..', 'I', ""'m"", 'seeing', 'them', 'die', 'the', 'most', 'smh']";['O', 'O', 'O', 'O', 'I-C', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER Diabetes can cause GP .;;Diabetes;GP;1;['USER', 'Diabetes', 'can', 'cause', 'GP', '.'];['O', 'I-C', 'O', 'O', 'I-E', 'O']
He died from lack of insulin , family says .;;lack of insulin;died;1;['He', 'died', 'from', 'lack', 'of', 'insulin', ',', 'family', 'says', '.'];['O', 'I-E', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O']
Diabetic neuropathy causes me to trip over my own feet since I can't feel them ( although they burn like I 'm stepping on hot asphalt go figure ) .;;Diabetic neuropathy;can't feel;1;"['Diabetic', 'neuropathy', 'causes', 'me', 'to', 'trip', 'over', 'my', 'own', 'feet', 'since', 'I', ""can't"", 'feel', 'them', '(', 'although', 'they', 'burn', 'like', 'I', ""'m"", 'stepping', 'on', 'hot', 'asphalt', 'go', 'figure', ')', '.']";['I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Must read I Had to Bury My 26 Year Old Son Because He Could n't Afford Insulin HTTPURL via USER;;Couldn't Afford Insulin;Bury;1.0;"['Must', 'read', 'I', 'Had', 'to', 'Bury', 'My', '26', 'Year', 'Old', 'Son', 'Because', 'He', 'Could', ""n't"", 'Afford', 'Insulin', 'HTTPURL', 'via', 'USER']";['O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O']
USER To get off the diabetes meds and feel better .;;off the diabetes meds;feel better;1.0;['USER', 'To', 'get', 'off', 'the', 'diabetes', 'meds', 'and', 'feel', 'better', '.'];['O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'I-E', 'I-E', 'O']
USER I hope you can help me , I was running in a marathon when my FreeStyle Libre sensor fell off and now I have no way of checking my glucose levels !;;FreeStyle Libre;checking my glucose levels;1.0;['USER', 'I', 'hope', 'you', 'can', 'help', 'me', ',', 'I', 'was', 'running', 'in', 'a', 'marathon', 'when', 'my', 'FreeStyle', 'Libre', 'sensor', 'fell', 'off', 'and', 'now', 'I', 'have', 'no', 'way', 'of', 'checking', 'my', 'glucose', 'levels', '!'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O']
As a diabetic myself I really feel for her and want to thank u for being there for a diabetic dog .;;diabetic myself;feel for her;1;['As', 'a', 'diabetic', 'myself', 'I', 'really', 'feel', 'for', 'her', 'and', 'want', 'to', 'thank', 'u', 'for', 'being', 'there', 'for', 'a', 'diabetic', 'dog', '.'];['O', 'O', 'I-C', 'I-C', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
After 10 years of injections and finger pricks , I have finally gotten an Insulin pump and glucose monitor .;mC;"Insulin pump;glucose monitor";;0;['After', '10', 'years', 'of', 'injections', 'and', 'finger', 'pricks', ',', 'I', 'have', 'finally', 'gotten', 'an', 'Insulin', 'pump', 'and', 'glucose', 'monitor', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'I-C', 'I-C', 'O']
Finally I can start to manage my diabetes even better and improve my health HTTPURL;mE;;"manage my diabetes;improve my health";0;['Finally', 'I', 'can', 'start', 'to', 'manage', 'my', 'diabetes', 'even', 'better', 'and', 'improve', 'my', 'health', 'HTTPURL'];['O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O']
Keeps his diabetes in check by getting our for a 4 mile brisk walk every single day .;;diabetes;walk;1;['Keeps', 'his', 'diabetes', 'in', 'check', 'by', 'getting', 'our', 'for', 'a', '4', 'mile', 'brisk', 'walk', 'every', 'single', 'day', '.'];['O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O']
Less diabetes means less COVID deaths .;;Less diabetes;less COVID deaths;1;['Less', 'diabetes', 'means', 'less', 'COVID', 'deaths', '.'];['I-C', 'I-C', 'O', 'I-E', 'I-E', 'I-E', 'O']
Glad to see insulin prices have come down .;;insulin prices have come down;Glad;1;['Glad', 'to', 'see', 'insulin', 'prices', 'have', 'come', 'down', '.'];['I-E', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'O']
I think the chronic fatigue part of diabetes has hit me full whack again :sleeping_face: :persevering_face: #runningonempty;;diabetes;chronic fatigue;1.0;['I', 'think', 'the', 'chronic', 'fatigue', 'part', 'of', 'diabetes', 'has', 'hit', 'me', 'full', 'whack', 'again', ':sleeping_face:', ':persevering_face:', '#runningonempty'];['O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER USER Your correct , I had one once when I panicked after they told me I was diabetic , which turned out that I was n't .;;diabetic;panicked;1;"['USER', 'USER', 'Your', 'correct', ',', 'I', 'had', 'one', 'once', 'when', 'I', 'panicked', 'after', 'they', 'told', 'me', 'I', 'was', 'diabetic', ',', 'which', 'turned', 'out', 'that', 'I', 'was', ""n't"", '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER USER £ JohnOredeko , dad and uncle passed away from diabetes and corona last week Saturday morning , and recently lost my job , due to all this madness , so my life is getting worse #keemstarisnotoverparty;mC;"diabetes;corona";passed away;1.0;['USER', 'USER', '£', 'JohnOredeko', ',', 'dad', 'and', 'uncle', 'passed', 'away', 'from', 'diabetes', 'and', 'corona', 'last', 'week', 'Saturday', 'morning', ',', 'and', 'recently', 'lost', 'my', 'job', ',', 'due', 'to', 'all', 'this', 'madness', ',', 'so', 'my', 'life', 'is', 'getting', 'worse', '#keemstarisnotoverparty'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'I-C', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Like I said before , it 's tougher for me to recognize lows when it 's cold .;;cold;tougher for me to recognize lows;1;"['Like', 'I', 'said', 'before', ',', 'it', ""'s"", 'tougher', 'for', 'me', 'to', 'recognize', 'lows', 'when', 'it', ""'s"", 'cold', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'I-C', 'O']
Oh boy sometimes I more than despise the #healthcare system we work in #Insulin4all #insulin4all Type 1s should not be on ups and downs suboptimal Walmart insulin , do n't give me that .;mE;despise the #healthcare system;"#Insulin4all;#insulin4all";1.0;"['Oh', 'boy', 'sometimes', 'I', 'more', 'than', 'despise', 'the', '#healthcare', 'system', 'we', 'work', 'in', '#Insulin4all', '#insulin4all', 'Type', '1s', 'should', 'not', 'be', 'on', 'ups', 'and', 'downs', 'suboptimal', 'Walmart', 'insulin', ',', 'do', ""n't"", 'give', 'me', 'that', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
USER Without insurance , my daughter 's insulin would cost over $ 1,500 .;;Without insurance;cost over $ 1,500;1;"['USER', 'Without', 'insurance', ',', 'my', 'daughter', ""'s"", 'insulin', 'would', 'cost', 'over', '$', '1,500', '.']";['O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O']
USER USER I shall try to solve them issues with love :clapping_hands: :light_skin_tone: & food :pregnant_woman: :light_skin_tone: Healthy food * because diabetes :relieved_face:;;diabetes;Healthy food;1.0;['USER', 'USER', 'I', 'shall', 'try', 'to', 'solve', 'them', 'issues', 'with', 'love', ':clapping_hands:', ':light_skin_tone:', '&', 'food', ':pregnant_woman:', ':light_skin_tone:', 'Healthy', 'food', '*', 'because', 'diabetes', ':relieved_face:'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'I-C', 'O']
USER A coworker who had his big toe cut off , due to diabetes , asked me who am I trying to impress .;;diabetes;toe cut off;1;['USER', 'A', 'coworker', 'who', 'had', 'his', 'big', 'toe', 'cut', 'off', ',', 'due', 'to', 'diabetes', ',', 'asked', 'me', 'who', 'am', 'I', 'trying', 'to', 'impress', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
My ass is trying to eat everything I can today cause I have a glucose test tomorrow :weary_face: :nauseated_face:;;glucose test;eat;1.0;['My', 'ass', 'is', 'trying', 'to', 'eat', 'everything', 'I', 'can', 'today', 'cause', 'I', 'have', 'a', 'glucose', 'test', 'tomorrow', ':weary_face:', ':nauseated_face:'];['O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O']
I have live with diabetes my whole life until I saw a post of elder bankole curing diabetes , I contacted him and purchased his herbal medicine .;;herbal medicine;curing diabetes;1;['I', 'have', 'live', 'with', 'diabetes', 'my', 'whole', 'life', 'until', 'I', 'saw', 'a', 'post', 'of', 'elder', 'bankole', 'curing', 'diabetes', ',', 'I', 'contacted', 'him', 'and', 'purchased', 'his', 'herbal', 'medicine', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O']
USER dude ok my usual account is USER I got suspended for saying that the Walmart insulin thing could kill a person lmao she reported me;;Walmart insulin;kill;1.0;['USER', 'dude', 'ok', 'my', 'usual', 'account', 'is', 'USER', 'I', 'got', 'suspended', 'for', 'saying', 'that', 'the', 'Walmart', 'insulin', 'thing', 'could', 'kill', 'a', 'person', 'lmao', 'she', 'reported', 'me'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O']
The drink they give you to check if you have gestational diabetes is so disgusting :face_vomiting:;;gestational diabetes;disgusting;1.0;['The', 'drink', 'they', 'give', 'you', 'to', 'check', 'if', 'you', 'have', 'gestational', 'diabetes', 'is', 'so', 'disgusting', ':face_vomiting:'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'I-E', 'O']
Diabetes is the worst fucking thing to have to deal with when you 're trying to perform well in anything .;;Diabetes;worst fucking thing;1;"['Diabetes', 'is', 'the', 'worst', 'fucking', 'thing', 'to', 'have', 'to', 'deal', 'with', 'when', 'you', ""'re"", 'trying', 'to', 'perform', 'well', 'in', 'anything', '.']";['I-C', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I hate it;;;hate;0;['I', 'hate', 'it'];['O', 'I-E', 'O']
